,town,lat,lon
186,Brännland,63.8797,20.0554
187,Brännö,57.6425,11.7761
188,Brösarp,55.7167,14.1167
189,Bua,57.2368,12.1221
190,Buerås,57.45,11.9333
191,Bullmark,64.0409,20.4967
192,Bunkeflostrand,55.5535,12.9139
193,Bureå,64.6179,21.2003
194,Burgsvik,57.0318,18.2815
195,Burlövs egnahem,55.6359,13.1002
196,Burseryd,57.2006,13.2896
197,Burträsk,64.5198,20.6567
198,Buskhyttan,58.6563,16.9502
199,Butbro,58.7114,15.8512
200,Bygdeå,64.0617,20.8538
201,Bygdsiljum,64.3667,20.4833
202,Byske,64.9535,21.2042
203,Bålsta,59.5591,17.5184
204,Bårslöv,56.0054,12.8176
205,Båstad,56.4278,12.8599
206,Båtskärsnäs,65.7816,23.4209
207,Bäckaskog,56.0447,14.3356
208,Bäckebo,56.8893,16.0668
209,Bäckefors,58.8,12.1667
210,Bäckhammar,59.1603,14.1858
211,Bälgviken,59.2503,16.4614
212,Bälinge,59.9488,17.5332
214,Bärby,59.8577,17.8148
215,Bäsna,60.5372,15.2038
216,Böle,65.3846,21.3204
217,Bönan,60.739,17.3083
218,Charlottenberg,59.8856,12.3046
219,Dalarö,59.1348,18.4112
220,Dalby,55.6644,13.3486
221,Dals Långed,58.9235,12.307
222,Dals Rostock,58.7141,12.3568
223,Dalsjöfors,57.7228,13.1059
224,Dalstorp,57.6057,13.5119
225,Dalum,57.9042,13.4766
226,Danholn,60.6194,15.7898
227,Dannemora,60.1975,17.8469
228,Dannike,57.6833,13.2167
229,Degeberga,55.8359,14.0901
230,Degerfors,59.2365,14.428
231,Degerhamn,56.3589,16.4323
232,Deje,59.604,13.4683
233,Delary,56.5491,13.9533
234,Delsbo,61.7985,16.5535
235,Dingersjö,62.2767,17.3788
236,Dingle,58.5333,11.5667
237,Dingtuna,59.5706,16.3822
238,Diseröd,57.9237,12.0318
239,Diö,56.6333,14.2167
240,Djulö kvarn,58.9701,16.2026
241,Djura,60.6096,14.9886
242,Djurmo,60.5496,15.181
243,Djurås,60.5608,15.1318
244,Djurö,59.3119,18.7043
245,Docksta,63.0602,18.3357
246,Domsten,56.1191,12.6063
247,Donsö,57.6017,11.8069
248,Dorotea,64.2628,16.4118
249,Drag,56.7795,16.4146
250,Drottningholm,59.3217,17.8868
251,Drängsmark,64.9457,20.8492
252,Dunö,56.6333,16.2667
253,Duved,63.3916,12.9213
254,Duvesjön,57.953,12.0165
255,Dvärsätt,63.3167,14.4667
256,Dyvelsten,59.5,13.4331
257,Dösjebro,55.8198,13.027
258,Ed,58.9101,11.941
259,Eda glasbruk,59.9234,12.2642
260,Edane,59.6288,12.8232
261,Edsbro,59.8922,18.4885
262,Edsbruk,58.0333,16.4667
263,Edsbyn,61.3769,15.8175
264,Edsvalla,59.4361,13.2106
265,Eggby,58.432,13.6439
266,Ekeby,56.0002,12.971
270,Ekeby-Almby,59.2599,15.3367
271,Ekedalen,58.1983,13.8418
272,Ekenässjön,57.4906,15.0223
273,Ekerö,59.2791,17.7938
274,Ekerö sommarstad,59.2791,17.7938
275,Eket,56.25,13.1833
276,Ekshärad,60.1728,13.4964
277,Eksjö,57.6672,14.9705
278,Eksund,58.5883,16.0899
279,Ekängen,58.4687,15.6352
280,Eldsberga,56.599,12.9885
281,Ellös,58.1833,11.4667
282,Emmaboda,56.627,15.5528
283,Emmaljunga,56.4036,13.6584
284,Emsfors,57.145,16.4535
285,Emtunga,58.2558,12.9983
286,Eneryda,56.7,14.3333
287,Enhagen-Ekbacken,59.5669,16.5275
288,Enköping,59.6381,17.0855
289,Ensjön,62.2959,15.3632
290,Enstaberga,58.75,16.85
291,Enviken,60.8076,15.7578
292,Enånger,61.5477,17.0075
293,Eriksmåla,56.7329,15.4949
294,Eringsboda,56.439,15.3771
295,Ersmark,64.8487,20.8898
297,Ersnäs,65.5282,21.7967
298,Eskilsby och Snugga,57.6159,12.2961
299,Eskilstuna,59.3679,16.5065
300,Eslöv,55.8386,13.3015
301,Essvik,62.3202,17.3953
302,Evertsberg,61.1346,13.9562
303,Everöd,55.9023,14.0829
304,Fagerhult,57.9993,14.1199
307,Fagersanna,58.4651,14.294
308,Fagersta,59.9983,15.7982
309,Fagerås,59.5333,13.2
310,Falerum,58.1424,16.2093
311,Falkenberg,56.8985,12.4956
312,Falköping,58.1705,13.5527
313,Falun,60.6048,15.6656
314,Fanbyn,63.353,19.2168
315,Fellingsbro,59.4341,15.5935
316,Fengersfors,58.9931,12.4715
317,Figeholm,57.3756,16.56
318,Filipstad,59.7093,14.1673
319,Filsbäck,58.4921,13.2465
320,Finja,56.1804,13.69
321,Finkarby,59.2255,17.3067
322,Finnerödja,58.9236,14.4545
323,Finspång,58.7047,15.7783
324,Finsta,59.7369,18.494
325,Fiskebäckskil,58.2459,11.4596
326,Fisksätra,59.2924,18.248
327,Fjugesta,59.174,14.8708
328,Fjälkinge,56.0438,14.2756
329,Fjällbacka,58.5994,11.2842
330,Fjärdhundra,59.7712,16.9096
331,Fjärås kyrkby,57.4577,12.1714
332,Flen,59.056,16.592
333,Flisby,57.782,14.8091
334,Fliseryd,57.1272,16.2606
335,Floby,58.137,13.3367
336,Floda,57.8073,12.3559
338,Flurkmark,63.9826,20.2403
339,Flygsfors,56.8369,15.7811
340,Flyinge,55.7507,13.3671
341,Flädie,55.7256,13.0684
342,Fornåsa,58.4796,15.2291
343,Fors,60.2111,16.317
344,Forsbacka,60.6167,16.8833
345,Forsby,60.1357,12.9998
346,Forserum,57.6992,14.4751
347,Forshaga,59.5296,13.483
348,Forsheda,57.1637,13.8334
349,Forssjö,58.9555,16.2888
350,Forsvik,58.5819,14.4438
351,Fotö,57.6694,11.6583
352,Fredrika,64.0656,18.4066
353,Fredriksberg,60.1377,14.38
354,Fredriksdal,57.6204,14.6115
355,Fridafors,56.4086,14.6602
356,Fridlevstad,56.2736,15.5355
357,Friggesund,61.897,16.5501
358,Frillesås,57.3174,12.1907
359,Frinnaryd,57.9337,14.8202
360,Fristad,57.8249,13.0078
361,Fritsla,57.5564,12.7992
362,Frufällan,57.7731,12.9859
363,Frånö,62.9051,17.8266
364,Främmestad,58.2327,12.6662
365,Frändefors,58.4966,12.2796
366,Fränsta,62.4979,16.1695
367,Frödinge,57.6989,15.9992
368,Frösakull,56.6708,12.7373
369,Frövi,59.4674,15.3635
370,Funäsdalen,62.5493,12.5516
371,Furuby,56.8532,15.0339
372,Furudal,61.1667,15.1333
